step,cd_proxy,cl_proxy,mass,effective_re,tau,probe_vorticity,max_speed
1,324.9986496189,-0.0978639788,1.0000000000,100.000000,0.54628571,0.0000012589,0.0450159966
3,46.9663344375,-0.1485458039,1.0000004080,100.000000,0.54628571,0.0000012668,0.0529054301
5,96.9989812856,-0.1298573548,1.0000013120,100.000000,0.54628571,0.0000012748,0.0536013098
7,117.4814552384,-0.1206308988,1.0000016380,100.000000,0.54628571,0.0000012828,0.0561222775
9,50.6198478359,-0.1212368556,1.0000026456,100.000000,0.54628571,0.0000012908,0.0597480543
11,96.0280311611,-0.1124596368,1.0000036470,100.000000,0.54628571,0.0000012988,0.0586510163
13,64.5067405308,-0.1106864068,1.0000047937,100.000000,0.54628571,0.0000013069,0.0609264176
15,63.6533649400,-0.1068707549,1.0000062640,100.000000,0.54628571,0.0000013150,0.0605705225
17,71.1376445300,-0.1038417807,1.0000077121,100.000000,0.54628571,0.0000013231,0.0618294552
19,52.0434450725,-0.1015993547,1.0000093636,100.000000,0.54628571,0.0000013313,0.0638134457
21,61.3032667870,-0.0983958010,1.0000110675,100.000000,0.54628571,0.0000013395,0.0659430192
23,53.2013718509,-0.0961021451,1.0000128637,100.000000,0.54628571,0.0000013477,0.0679590558
25,49.5385346867,-0.0932482436,1.0000148203,100.000000,0.54628571,0.0000013560,0.0692122106
27,51.7068927818,-0.0904906750,1.0000168439,100.000000,0.54628571,0.0000013643,0.0704121147
29,44.6364532495,-0.0875407113,1.0000189996,100.000000,0.54628571,0.0000013726,0.0719022485
31,45.8013634841,-0.0843702913,1.0000212366,100.000000,0.54628571,0.0000013810,0.0728852707
33,42.9650945531,-0.0811881397,1.0000235521,100.000000,0.54628571,0.0000013894,0.0741115533
35,40.1520787803,-0.0777098226,1.0000259726,100.000000,0.54628571,0.0000013978,0.0754215973
37,40.1826831092,-0.0741536749,1.0000284654,100.000000,0.54628571,0.0000014063,0.0765874397
39,36.9307929727,-0.0704091884,1.0000310526,100.000000,0.54628571,0.0000014148,0.0777754059
41,36.1705729408,-0.0664929109,1.0000337211,100.000000,0.54628571,0.0000014234,0.0787055017
43,34.6851573513,-0.0624185785,1.0000364652,100.000000,0.54628571,0.0000014320,0.0795865566
45,32.7439662381,-0.0581506107,1.0000392942,100.000000,0.54628571,0.0000014406,0.0803210538
47,32.0781857017,-0.0537527798,1.0000421957,100.000000,0.54628571,0.0000014493,0.0809488956
49,30.3015838287,-0.0492107754,1.0000451750,100.000000,0.54628571,0.0000014580,0.0815335630
51,29.2417820839,-0.0445591284,1.0000482282,100.000000,0.54628571,0.0000014667,0.0820701882
53,28.1623227019,-0.0398063317,1.0000513516,100.000000,0.54628571,0.0000014755,0.0826094341
55,26.7814006049,-0.0349608886,1.0000545484,100.000000,0.54628571,0.0000014843,0.0830925255
57,25.9402563094,-0.0300428883,1.0000578135,100.000000,0.54628571,0.0000014925,0.0835144916
59,24.7676820141,-0.0250530706,1.0000611478,100.000000,0.54628571,0.0000014985,0.0838491113
61,23.8089031081,-0.0200137631,1.0000645501,100.000000,0.54628571,0.0000015058,0.0840941774
63,22.9493241253,-0.0149316284,1.0000680182,100.000000,0.54628571,0.0000015282,0.0842671554
65,21.9591356630,-0.0097936217,1.0000715528,100.000000,0.54628571,0.0000015404,0.0843803140
67,21.1949154146,-0.0045293664,1.0000751513,100.000000,0.54628571,0.0000015189,0.0844600732
69,20.3471583096,0.0010246086,1.0000788131,100.000000,0.54628571,0.0000015538,0.0845128698
